container.title,created,doi,title,type,first.author,authors
Fisheries Research,2019-01-29,10.1016/j.fishres.2018.12.006,"Refinement of acoustic-tagging protocol for twaite shad Alosa fallax (Lacépède), a species sensitive to handling and sedation",journal-article,Bolland,"Jonathan D. Bolland, Andrew D. Nunn, Natalie V. Angelopoulos, Jamie R. Dodd, Peter Davies, Catherine Gutmann Roberts, J. Robert Britton, Ian G. Cowx"
Global Ecology and Conservation,2015-05-05,10.1016/j.gecco.2015.04.011,Identification of an assembly site for migratory and tropical seabirds in the South Atlantic Ocean,journal-article,Hughes,"B. John Hughes, Graham R. Martin, Anthony D. Giles, Roger C. Dickey, S. James Reynolds"
Global Ecology and Conservation,2015-12-01,10.1016/j.gecco.2015.11.001,A new approach to study of seabird-fishery overlap: Connecting chick feeding with parental foraging and overlap with fishing vessels,journal-article,Sugishita,"Junichi Sugishita, Leigh G. Torres, Philip J. Seddon"
Global Ecology and Conservation,2017-04-27,10.1016/j.gecco.2017.03.009,Satellite tracking of red-listed nominate lesser black-backed gulls (Larus f. fuscus): Habitat specialisation in foraging movements raises novel conservation needs,journal-article,Juvaste,"Risto Juvaste, Elena Arriero, Anna Gagliardo, Richard Holland, Markku J. Huttunen, Inge Mueller, Kasper Thorup, Martin Wikelski, Juhani Hannila, Maija-Liisa Penttinen, Ralf Wistbacka"
Global Ecology and Conservation,2021-03-18,10.1016/j.gecco.2021.e01545,Transboundary priorities for protection of frigatebird non-breeding habitat in a heavily impacted region,journal-article,Mott,"Rowan Mott, Ashley Herrod, Rohan H. Clarke"
Global Ecology and Conservation,2021-07-08,10.1016/j.gecco.2021.e01713,Movements and distribution of hawksbill turtles in the Eastern Indian Ocean,journal-article,Fossette,"Sabrina Fossette, Luciana C. Ferreira, Scott D. Whiting, Joanne King, Kellie Pendoley, Takahiro Shimada, Marissa Speirs, Anton D. Tucker, Phillipa Wilson, Michele Thums"
ICES Journal of Marine Science,2004-10-21,10.1016/j.icesjms.2004.07.014,"Direct measurement of the swimming speed, tailbeat, and body angle of Japanese flounder (Paralichthys olivaceus)",journal-article,Kawabe,"Ryo Kawabe, Yasuhiko Naito, Katsufumi Sato, Kazushi Miyashita, Nariharu Yamashita"
Journal of Experimental Marine Biology and Ecology,2008-01-30,10.1016/j.jembe.2007.12.008,Measuring the state of consciousness in a free-living diving sea turtle,journal-article,Houghton,"Jonathan D.R. Houghton, Allen Cedras, Andrew E. Myers, Niko Liebsch, Julian D. Metcalfe, Jeanne A. Mortimer, Graeme C. Hays"
Journal of Experimental Marine Biology and Ecology,2008-04-03,10.1016/j.jembe.2008.01.026,Filtering and interpreting location errors in satellite telemetry of marine animals,journal-article,Royer,"Francois Royer, Molly Lutcavage"
Journal of Experimental Marine Biology and Ecology,2008-08-04,10.1016/j.jembe.2008.06.024,A validated approach for supervised dive classification in diving vertebrates,journal-article,Thums,"Michele Thums, Corey J.A. Bradshaw, Mark A. Hindell"
