container.title,created,doi,title,type,first.author,authors
Journal of Experimental Marine Biology and Ecology,2012-06-08,10.1016/j.jembe.2012.04.021,The slowest fish: Swim speed and tail-beat frequency of Greenland sharks,journal-article,Watanabe,"Yuuki Y. Watanabe, Christian Lydersen, Aaron T. Fisk, Kit M. Kovacs"
Journal of Marine Systems,2009-02-22,10.1016/j.jmarsys.2008.11.022,The importance of oceanographic fronts to marine birds and mammals of the southern oceans,journal-article,Bost,"C.A. Bost, C. Cotté, F. Bailleul, Y. Cherel, J.B. Charrassin, C. Guinet, D.G. Ainley, H. Weimerskirch"
Nature,2013-06-11,10.1038/nature12295,Locomotion dynamics of hunting in wild cheetahs,journal-article,Wilson,"A. M. Wilson, J. C. Lowe, K. Roskilly, P. E. Hudson, K. A. Golabek, J. W. McNutt"
Nature Communications,2016-08-03,10.1038/ncomms12468,Evidence that birds sleep in mid-flight,journal-article,Rattenborg,"Niels C Rattenborg, Bryson Voirin, Sebastian M. Cruz, Ryan Tisdale, Giacomo Dell’Omo, Hans-Peter Lipp, Martin Wikelski, Alexei L. Vyssotski"
Scientific Reports,2016-06-13,10.1038/srep27865,Adult vultures outperform juveniles in challenging thermal soaring conditions,journal-article,Harel,"Roi Harel, Nir Horvitz, Ran Nathan"
Proceedings of the National Academy of Sciences,2007-08-11,10.1073/pnas.0701121104,"Variations in behavior and condition of a Southern Ocean top predator in relation to
            <i>in situ</i>
            oceanographic conditions",journal-article,Biuw,"M. Biuw, L. Boehme, C. Guinet, M. Hindell, D. Costa, J.-B. Charrassin, F. Roquet, F. Bailleul, M. Meredith, S. Thorpe, Y. Tremblay, B. McDonald, Y.-H. Park, S. R. Rintoul, N. Bindoff, M. Goebel, D. Crocker, P. Lovell, J. Nicholson, F. Monks, M. A. Fedak"
Proceedings of the National Academy of Sciences,2019-11-26,10.1073/pnas.1914273116,Extreme bradycardia and tachycardia in the world’s largest animal,journal-article,Goldbogen,"J. A. Goldbogen, D. E. Cade, J. Calambokidis, M. F. Czapanskiy, J. Fahlbusch, A. S. Friedlaender, W. T. Gough, S. R. Kahane-Rapport, M. S. Savoca, K. V. Ponganis, P. J. Ponganis"
Biology Letters,2009-10-29,10.1098/rsbl.2009.0719,Three-dimensional resting behaviour of northern elephant seals: drifting like a falling leaf,journal-article,Mitani,"Yoko Mitani, Russel D. Andrews, Katsufumi Sato, Akiko Kato, Yasuhiko Naito, Daniel P. Costa"
Biology Letters,2012-12-19,10.1098/rsbl.2012.0919,Accelerometry predicts daily energy expenditure in a bird with high activity levels,journal-article,Elliott,"Kyle H. Elliott, Maryline Le Vaillant, Akiko Kato, John R. Speakman, Yan Ropert-Coudert"
Proceedings of the Royal Society B: Biological Sciences,2006-12-13,10.1098/rspb.2006.0005,"Stroke frequency, but not swimming speed, is related to body size in free-ranging seabirds, pinnipeds and cetaceans",journal-article,Sato,"Katsufumi Sato, Yutaka Watanuki, Akinori Takahashi, Patrick J.O Miller, Hideji Tanaka, Ryo Kawabe, Paul J Ponganis, Yves Handrich, Tomonari Akamatsu, Yuuki Watanabe, Yoko Mitani, Daniel P Costa, Charles-André Bost, Kagari Aoki, Masao Amano, Phil Trathan, Ari Shapiro, Yasuhiko Naito"
Methods in Ecology and Evolution,2016-10-07,10.1111/2041-210x.12657,Analysis of animal accelerometer data using hidden Markov models,journal-article,Leos‐Barajas,"Vianey Leos‐Barajas, Theoni Photopoulou, Roland Langrock, Toby A. Patterson, Yuuki Y. Watanabe, Megan Murgatroyd, Yannis P. Papastamatiou"
Methods in Ecology and Evolution,2017-11-17,10.1111/2041-210x.12934,A phylogenetically controlled meta‐analysis of biologging device effects on birds: Deleterious effects and a call for more standardized reporting of study data,journal-article,Bodey,"Thomas W. Bodey, Ian R. Cleasby, Fraser Bell, Nicole Parr, Anthony Schultz, Stephen C. Votier, Stuart Bearhop"
Methods in Ecology and Evolution,2018-04-16,10.1111/2041-210x.13013,Miniaturization of biologgers is not alleviating the 5% rule,journal-article,Portugal,"Steven J. Portugal, Craig R. White"
Journal of Animal Ecology,2006-04-20,10.1111/j.1365-2656.2006.01101.x,Deep-diving foraging behaviour of sperm whales (Physeter macrocephalus),journal-article,WATWOOD,"STEPHANIE L. WATWOOD, PATRICK J. O. MILLER, MARK JOHNSON, PETER T. MADSEN, PETER L. TYACK"
Movement Ecology,2013-07-03,10.1186/2051-3933-1-3,The environmental-data automated track annotation (Env-DATA) system: linking animal tracks with environmental data,journal-article,Dodge,"Somayeh Dodge, Gil Bohrer, Rolf Weinzierl, Sarah C Davidson, Roland Kays, David Douglas, Sebastian Cruz, Jiawei Han, David Brandes, Martin Wikelski"
NA,2018-02-24,10.1201/9781315370279,Generalized Additive Models,book,Wood,Simon N. Wood
Journal of Experimental Biology,2012-10-11,10.1242/jeb.071092,Keeping momentum with a mouthful of water: behavior and kinematics of humpback whale lunge feeding,journal-article,Simon,"Malene Simon, Mark Johnson, Peter T. Madsen"
Journal of Experimental Biology,2021-04-25,10.1242/jeb.204.4.685,A new technique for monitoring the behaviour of free-ranging Adelie penguins,journal-article,Yoda,"K. Yoda, Y. Naito, K. Sato, A. Takahashi, J. Nishikawa, Y. Ropert-Coudert, M. Kurita, Y. Le Maho"
PLoS ONE,2010-01-14,10.1371/journal.pone.0008677,Accuracy of ARGOS Locations of Pinnipeds at-Sea Estimated Using Fastloc GPS,journal-article,Costa,"Daniel P. Costa, Patrick W. Robinson, John P. Y. Arnould, Autumn-Lynn Harrison, Samantha E. Simmons, Jason L. Hassrick, Andrew J. Hoskins, Stephen P. Kirkman, Herman Oosthuizen, Stella Villegas-Amtmann, Daniel E. Crocker"
Ecology,2007-06-04,10.1890/0012-9658(2003)084[0282:ufptit]2.0.co;2,USING FIRST-PASSAGE TIME IN THE ANALYSIS OF AREA-RESTRICTED SEARCH AND HABITAT SELECTION,journal-article,Fauchald,"Per Fauchald, Torkild Tveraa"
Endangered Species Research,2009-10-28,10.3354/esr00247,Identifying shark mating behaviour using three-dimensional acceleration loggers,journal-article,Whitney,"NM Whitney, HL Pratt, TC Pratt, JC Carrier"
Theoretical Population Biology,2004-12-17,10.1016/0040-5809(76)90040-x,"Optimal foraging, the marginal value theorem",journal-article,Charnov,Eric L. Charnov
Deep Sea Research Part II: Topical Studies in Oceanography,2007-02-16,10.1016/j.dsr2.2006.11.013,Are seabirds foraging for unpredictable resources?,journal-article,Weimerskirch,Henri Weimerskirch
Polar Record,2009-10-27,10.1017/s003224740005484x,Techniques used in measuring diving capacities of Weddell Seals,journal-article,Kooyman,Gerald L. Kooyman
Oikos,2003-10-17,10.1034/j.1600-0706.2003.12559.x,Long-distance migration: evolution and determinants,journal-article,Alerstam,"Thomas Alerstam, Anders Hedenström, Susanne Åkesson"
Nature,2011-01-11,10.1038/nature09630,Reliability of flipper-banded penguins as indicators of climate change,journal-article,Saraux,"Claire Saraux, Céline Le Bohec, Joël M. Durant, Vincent A. Viblanc, Michel Gauthier-Clerc, David Beaune, Young-Hyang Park, Nigel G. Yoccoz, Nils C. Stenseth, Yvon Le Maho"
Journal of Animal Ecology,2003-03-12,10.1046/j.1365-2656.1999.00337.x,Scaling of metabolic rate with body mass and temperature in teleost fish,journal-article,Clarke,"Andrew Clarke, Nadine M. Johnston"
American Zoologist,2007-01-04,10.1093/icb/11.1.99,Energetic Responses of Salmon to Temperature. A Study of Some Thermal Relations in the Physiology and Freshwater Ecology of Sockeye Salmon (<i>Oncorhynchus nerkd</i>),journal-article,BRETT,JOHN R. BRETT
Proceedings of the Royal Society of London. Series B: Biological Sciences,2004-07-14,10.1098/rsbl.2004.0208,Beaked whales echolocate on prey,journal-article,Johnson,"Mark Johnson, Peter T. Madsen, Walter M. X. Zimmer, Natacha Aguilar de Soto, Peter L. Tyack"
Journal of Animal Ecology,2015-02-02,10.1111/1365-2656.12346,Ocean sunfish rewarm at the surface after deep excursions to forage for siphonophores,journal-article,Nakamura,"Itsumi Nakamura, Yusuke Goto, Katsufumi Sato"
Ecology Letters,2016-12-21,10.1111/ele.12708,What's your move? Movement as a link between personality and spatial dynamics in animal populations,journal-article,Spiegel,"Orr Spiegel, Stephan T. Leu, C. Michael Bull, Andrew Sih"
Journal of Animal Ecology,2010-09-29,10.1111/j.1365-2656.2010.01758.x,Accelerometry estimates field metabolic rate in giant Australian cuttlefish Sepia apama during breeding,journal-article,Payne,"Nicholas L. Payne, Bronwyn M. Gillanders, Roger S. Seymour, Dale M. Webber, Edward P. Snelling, Jayson M. Semmens"
Methods in Ecology and Evolution,2009-11-13,10.1111/j.2041-210x.2009.00001.x,A protocol for data exploration to avoid common statistical problems,journal-article,Zuur,"Alain F. Zuur, Elena N. Ieno, Chris S. Elphick"
Science,2005-05-13,10.1126/science.1111322,Climate Change and Distribution Shifts in Marine Fishes,journal-article,Perry,"Allison L. Perry, Paula J. Low, Jim R. Ellis, John D. Reynolds"
Science,2012-01-12,10.1126/science.1210270,Changes in Wind Pattern Alter Albatross Distribution and Life-History Traits,journal-article,Weimerskirch,"Henri Weimerskirch, Maite Louzao, Sophie de Grissac, Karine Delord"
"Annual Review of Ecology, Evolution, and Systematics",2011-03-02,10.1146/annurev-ecolsys-102710-145045,New Insights into Pelagic Migrations: Implications for Ecology and Conservation,journal-article,Costa,"Daniel P. Costa, Greg A. Breed, Patrick W. Robinson"
Journal of Neurophysiology,2005-10-20,10.1152/jn.00879.2005,Miniature Neurologgers for Flying Pigeons: Multichannel EEG and Action and Field Potentials in Combination With GPS Recording,journal-article,Vyssotski,"Alexei L. Vyssotski, Andrei N. Serkov, Pavel M. Itskov, Giacomo Dell'Omo, Alexander V. Latanov, David P. Wolfer, Hans-Peter Lipp"
Physiological Reviews,2017-12-24,10.1152/physrev.1997.77.3.837,Physiology of diving of birds and mammals,journal-article,Butler,"P. J. Butler, D. R. Jones"
Behaviour,2008-04-07,10.1163/156853974x00534,Observational Study of Behavior: Sampling Methods,journal-article,Altmann,Jeanne Altmann
Animal Biotelemetry,2017-03-16,10.1186/s40317-017-0121-3,Identification of behaviours from accelerometer data in a wild social primate,journal-article,Fehlmann,"Gaelle Fehlmann, M. Justin O’Riain, Phil W. Hopkins, Jack O’Sullivan, Mark D. Holton, Emily L. C. Shepard, Andrew J. King"
Animal Biotelemetry,2019-12-21,10.1186/s40317-019-0189-z,"An overview of behavioral, physiological, and environmental sensors used in animal biotelemetry and biologging studies",journal-article,Whitford,"Malachi Whitford, A. Peter Klimley"
Journal of Experimental Biology,2012-11-30,10.1242/jeb.077396,Accelerometer tags: detecting and identifying activities in fish and the effect of sampling frequency,journal-article,Broell,"Franziska Broell, Takuji Noda, Serena Wright, Paolo Domenici, John Fleng Steffensen, Jean-Pierre Auclair, Christopher T. Taggart"
Journal of Experimental Biology,2014-11-14,10.1242/jeb.113076,Supervised accelerometry analysis can identify prey capture by penguins at sea,journal-article,Carroll,"Gemma Carroll, David Slip, Ian Jonsen, Rob Harcourt"
Journal of Experimental Biology,2021-04-23,10.1242/jeb.194.1.83,HYDRODYNAMIC ASPECTS OF DESIGN AND ATTACHMENT OF A BACK-MOUNTED DEVICE IN PENGUINS,journal-article,Bannasch,"R Bannasch, RP Wilson, B Culik"
Journal of Experimental Biology,2021-04-25,10.1242/jeb.204.22.3895,Swimming speeds and buoyancy compensation of migrating adult chum salmon <i>Oncorhynchus keta</i> revealed by speed/depth/acceleration data logger,journal-article,Tanaka,"Hideji Tanaka, Yasuaki Takagi, Yasuhiko Naito"
Ecology,2007-06-04,10.1890/04-0953,WOLVES INFLUENCE ELK MOVEMENTS: BEHAVIOR SHAPES A TROPHIC CASCADE IN YELLOWSTONE NATIONAL PARK,journal-article,Fortin,"Daniel Fortin, Hawthorne L. Beyer, Mark S. Boyce, Douglas W. Smith, Thierry Duchesne, Julie S. Mao"
Marine Ecology Progress Series,2013-11-29,10.3354/meps10660,Southern elephant seal foraging success in relation to temperature and light conditions: insight into prey distribution,journal-article,Guinet,"C Guinet, J Vacquié-Garcia, B Picard, G Bessigneul, Y Lebras, AC Dragon, M Viviant, JPY Arnould, F Bailleul"
The Anatomical Record,2017-10-05,10.1002/ar.23650,Using Digital Tags With Integrated Video and Inertial Sensors to Study Moving Morphology and Associated Function in Large Aquatic Vertebrates,journal-article,Goldbogen,"J.A. Goldbogen, D.E. Cade, A.T. Boersma, J. Calambokidis, S.R. Kahane-Rapport, P.S. Segre, A.K. Stimpert, A.S. Friedlaender"
